0	1	100	128	Read	11
0	1	102	128	Write	11
0	1	100	128	Read	10
0	1	102	128	Read	10
0	2	100	128	Write	11
1	1	100	128	Read	11
0	2	100	128	Write	10
1	1	100	128	Read	10
0	1	100	100	Read	11
0	1	100	100	Write	11
0	1	100	100	Write	11
0	1	100	100	Write	10
0	1	100	100	Read	10
0	1	100	100	Write	10
0	1	105	128	Write	11
0	1	105	128	Write	10
0	1	102	128	Write	21
0	1	102	128	Write	21
0	1	102	128	Write	20
0	2	100	128	Write	11
0	2	100	128	Write	11
0	2	100	128	Write	1000
0	1	102	128	Write	21
0	1	102	128	Read	21
1	1	102	128	Read	21
0	2	100	128	Write	11
0	2	100	128	Write	11

