0	1	100	255	Read	12
0	1	100	255	Read	12
0	1	100	255	Read	10
0	1	100	255	Read	10
0	3	100	255	Read	12
2	1	100	255	Read	12
0	3	100	255	Read	10
2	1	100	255	Read	10
0	1	100	100	Read	12
0	1	100	100	Read	12
0	1	100	100	Read	12
0	1	100	100	Read	10
0	1	100	100	Read	10
0	1	100	100	Write	10
0	1	110	156	Read	12
0	1	110	156	Read	10
0	1	100	255	Read	22
0	1	100	255	Read	22
0	1	100	255	Read	20
0	1	100	128	Read	32
0	1	100	128	Write	32
0	1	100	128	Write	1002
0	2	100	255	Read	22
0	1	104	128	Write	22
2	1	104	128	Write	22
0	1	100	255	Read	12
1	1	100	255	Read	12

